year	age	educ	degree	sex	postlife	happy	life	richwork	news	tvhours	usewww	zodiac	degree3	newsreordered	id	income98	region	vote96	vote00
2002	47	16	3	2	0	0	0	0	0	-1	1	10	3	0	99	19	3	1	1
2002	49	18	4	1	8	3	1	1	0	-1	1	6	3	0	99	20	3	1	1
2002	58	10	0	2	0	0	0	0	0	-1	2	12	1	0	99	19	3	 	1
2002	42	18	4	2	0	0	0	0	0	-1	1	6	3	0	99	21	3	1	1
2002	40	19	4	1	1	1	1	1	1	1	1	4	3	5	99	20	3	 	2
2002	43	16	3	2	1	2	2	1	0	-1	1	7	3	0	99	19	3	1	1
2002	48	17	4	2	0	0	0	0	0	-1	1	12	3	0	99	21	3	1	1
2002	48	6	0	2	1	2	0	0	4	3	2	12	1	2	99	21	3	 	 
2002	42	14	2	2	1	1	1	2	0	-1	1	1	2	0	99	19	3	 	 
2002	29	13	1	1	0	0	0	0	0	-1	1	10	2	0	99	21	3	2	2
2002	26	15	2	1	0	0	0	0	0	-1	1	2	2	0	99	17	3	2	2
2002	76	15	1	1	1	1	1	0	1	3	2	1	2	5	99	14	3	1	1
2002	32	12	1	2	2	2	0	0	1	2	1	3	2	5	99	23	3	1	1
2002	63	18	4	1	1	3	1	1	0	-1	1	11	3	0	99	23	3	1	1
2002	46	13	1	2	0	0	0	0	0	-1	1	9	2	0	99	18	3	2	1
2002	41	13	1	2	0	0	0	0	0	-1	1	12	2	0	99	16	3	1	2
2002	29	14	1	1	8	3	2	1	2	5	1	8	2	4	99	22	3	2	2
2002	58	14	1	2	0	0	0	0	0	-1	2	9	2	0	99	22	3	 	 
2002	42	14	1	2	0	0	0	0	0	-1	1	9	2	0	301	18	3	1	2
2002	49	14	1	2	0	0	0	0	0	-1	1	5	2	0	302	23	3	1	1
2002	70	13	1	1	1	1	1	0	1	3	2	1	2	5	303	17	3	1	1
2002	66	16	3	1	1	1	1	0	0	-1	1	9	3	0	304	18	3	1	1
2002	43	15	1	2	0	0	0	0	0	-1	1	4	2	0	305	19	3	1	1
2002	37	12	1	1	0	0	0	0	0	-1	2	3	2	0	306	20	3	2	2
2002	58	12	1	2	0	0	0	0	0	-1	1	8	2	0	307	20	3	1	1
2002	23	12	1	2	1	2	2	1	2	3	1	10	2	4	308	17	3	 	2
2002	48	18	3	2	1	1	0	0	2	1	1	6	3	4	309	23	3	1	1
2002	44	12	1	2	0	0	0	0	0	-1	1	5	2	0	310	19	3	1	1
2002	45	14	2	2	0	0	0	0	0	-1	1	8	2	0	311	21	3	1	1
2002	44	12	1	1	1	1	1	2	1	4	2	10	2	5	312	17	3	1	2
2002	27	16	3	2	2	2	0	0	1	2	1	9	3	5	313	21	3	1	1
2002	72	16	3	1	1	2	1	0	0	-1	2	10	3	0	314	16	3	1	1
2002	76	14	1	2	1	3	2	0	1	2	2	12	2	5	315	24	3	2	2
2002	68	18	4	1	2	2	1	1	0	-1	1	11	3	0	316	23	9	1	1
2002	47	16	3	1	0	0	0	0	0	-1	1	12	3	0	317	23	9	2	1
2002	75	12	1	2	1	2	0	0	2	8	2	10	2	4	318	18	9	1	1
2002	28	18	3	1	0	0	0	0	0	-1	1	9	3	0	319	23	9	1	1
2002	51	17	4	1	2	1	0	0	1	1	1	6	3	5	320	23	9	 	 
2002	30	18	3	1	1	2	0	0	4	3	1	2	3	2	321	19	9	1	2
2002	38	16	3	2	2	3	2	1	0	-1	1	6	3	0	322	17	9	1	1
2002	33	12	1	1	0	0	0	0	0	-1	1	9	2	0	323	15	9	2	2
2002	34	12	1	2	0	0	0	0	0	-1	1	10	2	0	324	19	9	2	1
2002	27	12	1	2	1	1	0	0	3	1	2	8	2	3	325	19	9	1	1
2002	53	16	3	2	0	0	0	0	0	-1	1	11	3	0	326	19	9	1	1
